#! Version: 24/05/2019_17:05:42

Algorithm: AgglomerativeClustering
Small clusters = 6 (with proportion < 2.50%)
Total clusters = 20
N°         Size       Part(%)    Center    
0          124        11.93      subdivisionName
1          53         5.10       institution
2          26         2.50       wikiPageHistoryLink
3          101        9.72       grades    
4          59         5.68       fuel      
5          44         4.23       administrativeCollectivity
6          97         9.34       waterwayThroughTunnel
7          165        15.88      governmentPosition
8          22         2.12       demographics
9          75         7.22       politicalLeader
10         38         3.66       deathPlace
11         15         1.44       laurenceOlivierAward
12         53         5.10       soccerTournamentMostSteady
13         16         1.54       aircraftHelicopterMultirole
14         45         4.33       choreographer
15         4          0.38       silverMedalist
16         23         2.21       musicalBand
17         17         1.64       winsAtMajors
18         36         3.46       generalManager
19         26         2.50       regionServed

Algorithm: Birch
Small clusters = 7 (with proportion < 2.50%)
Total clusters = 20
N°         Size       Part(%)    Center    
0          55         5.29       apcPresident
1          124        11.93      governmentMountain
2          74         7.12       incumbent 
3          28         2.69       gameEngine
4          216        20.79      deathCause
5          112        10.78      garrison  
6          31         2.98       choreographer
7          59         5.68       subdivisionName
8          38         3.66       format    
9          58         5.58       laurenceOlivierAward
10         17         1.64       foresterDistrict
11         35         3.37       regionServed
12         21         2.02       institution
13         60         5.77       soccerTournamentLastChampion
14         4          0.38       taxon     
15         20         1.92       breeder   
16         17         1.64       winsAtMajors
17         37         3.56       politicalLeader
18         15         1.44       associatedMusicalArtist
19         18         1.73       sisterStation

Algorithm: GaussianMixture
Small clusters = 7 (with proportion < 2.50%)
Total clusters = 20
N°         Size       Part(%)    Center    
0          22         2.12       aircraftTrainer
1          154        14.82      newspaper 
2          31         2.98       dam       
3          108        10.39      grades    
4          64         6.16       format    
5          13         1.25       spokenIn  
6          164        15.78      march     
7          18         1.73       award     
8          66         6.35       winsAtNWIDE
9          32         3.08       administrativeCollectivity
10         50         4.81       rightTributary
11         75         7.22       lchfDraftTeam
12         48         4.62       choreographer
13         51         4.91       reigningPope
14         60         5.77       governmentPosition
15         2          0.19       influencedBy
16         14         1.35       wikiPageRedirects
17         60         5.77       dean      
18         2          0.19       inCemetery
19         5          0.48       hasVariant

Algorithm: KMeans
Small clusters = 6 (with proportion < 2.50%)
Total clusters = 20
N°         Size       Part(%)    Center    
0          85         8.18       lastAppearance
1          25         2.41       mainIsland
2          90         8.66       follows   
3          22         2.12       apcPresident
4          3          0.29       previousDemographics
5          34         3.27       choreographer
6          18         1.73       afiAward  
7          56         5.39       soccerTournamentMostSteady
8          57         5.49       settlement
9          43         4.14       northPlace
10         35         3.37       anthem    
11         129        12.42      routeActivity
12         59         5.68       breeder   
13         17         1.64       winsAtMajors
14         82         7.89       galleryItem
15         99         9.53       governmentPosition
16         46         4.43       institution
17         61         5.87       bodyStyle 
18         58         5.58       wagon     
19         20         1.92       aircraftHelicopterMultirole

Algorithm: MiniBatchKMeans
Small clusters = 12 (with proportion < 2.50%)
Total clusters = 20
N°         Size       Part(%)    Center    
0          56         5.39       government
1          135        12.99      breeder   
2          6          0.58       coExecutiveProducer
3          13         1.25       dam       
4          317        30.51      project   
5          1          0.10       regentOf  
6          5          0.48       ceremonialCounty
7          22         2.12       choreographer
8          16         1.54       wikiPageWikiLink
9          1          0.10       mentor    
10         18         1.73       geminiAward
11         40         3.85       presidentRegionalCouncil
12         84         8.08       leaderName
13         130        12.51      mother    
14         99         9.53       soccerTournamentMostSuccesfull
15         21         2.02       march     
16         6          0.58       owner     
17         23         2.21       follows   
18         44         4.23       endReign  
19         2          0.19       agglomerationDemographics

Algorithm: SpectralClustering
Small clusters = 16 (with proportion < 2.50%)
Total clusters = 20
N°         Size       Part(%)    Center    
0          105        10.11      dean      
1          83         7.99       beltwayCity
2          3          0.29       simcCode  
3          2          0.19       influencedBy
4          3          0.29       silverMedalist
5          2          0.19       inCemetery
6          2          0.19       hasChannel
7          2          0.19       astrologicalSign
8          2          0.19       demographics
9          1          0.10       olympicOathSwornBy
10         444        42.73      mainDomain
11         2          0.19       minority  
12         334        32.15      britishComedyAwards
13         15         1.44       award     
14         1          0.10       medalist  
15         2          0.19       subTribus 
16         5          0.48       winsAtAsia
17         18         1.73       aircraftTrainer
18         2          0.19       olympicOathSwornByAthlete
19         11         1.06       wikiPageRedirects

Algorithm: AffinityPropagation
Small clusters = 84 (with proportion < 0.29%)
Total clusters = 172
N°         Size       Part(%)    Center    
