Object property                Domain                         Range                          File                          

belongsTo                      structures                     structure_graphs               aba-amb.owl                   
hasMany                        structure_graphs               structures                     aba-amb.owl                   
hasMany                        structure_graphs               structures                     aba-amb.owl                   
hasDataRange                   Number_of_offspring            Data_range                     adw.owl                       
AGRO_00000429                  AGRO_00000369                  OBI_0000011                    agro.owl                      
BFO_0000054                    BFO_0000017                    BFO_0000015                    agro.owl                      
BFO_0000054                    BFO_0000017                    BFO_0000015                    agro.owl                      
BFO_0000055                    BFO_0000015                    BFO_0000017                    agro.owl                      
BFO_0000055                    BFO_0000015                    BFO_0000017                    agro.owl                      
BFO_0000062                    BFO_0000003                    BFO_0000003                    agro.owl                      
BFO_0000062                    BFO_0000003                    BFO_0000003                    agro.owl                      
BFO_0000062                    BFO_0000003                    BFO_0000003                    agro.owl                      
BFO_0000062                    BFO_0000003                    BFO_0000003                    agro.owl                      
BFO_0000063                    BFO_0000003                    BFO_0000003                    agro.owl                      
BFO_0000063                    BFO_0000003                    BFO_0000003                    agro.owl                      
BFO_0000063                    BFO_0000003                    BFO_0000003                    agro.owl                      
BFO_0000063                    BFO_0000003                    BFO_0000003                    agro.owl                      
BFO_0000066                    BFO_0000003                    BFO_0000004                    agro.owl                      
BFO_0000066                    BFO_0000003                    BFO_0000004                    agro.owl                      
IAO_0000221                    IAO_0000109                    BFO_0000019                    agro.owl                      
IAO_0000413                    IAO_0000416                    BFO_0000015                    agro.owl                      
IAO_0000581                    IAO_0000582                    IAO_0000416                    agro.owl                      
OBI_0000124                    OBI_0001909                    IAO_0000027                    agro.owl                      
OBI_0000417                    OBI_0000011                    IAO_0000005                    agro.owl                      
OBI_0000833                    IAO_0000005                    OBI_0000011                    agro.owl                      
OBI_0001938                    IAO_0000030                    OBI_0001933                    agro.owl                      
RO_0000056                     BFO_0000002                    BFO_0000003                    agro.owl                      
RO_0000056                     BFO_0000002                    BFO_0000003                    agro.owl                      
RO_0000056                     BFO_0000002                    BFO_0000003                    agro.owl                      
RO_0000056                     BFO_0000002                    BFO_0000003                    agro.owl                      
RO_0000057                     BFO_0000003                    BFO_0000002                    agro.owl                      
RO_0000057                     BFO_0000003                    BFO_0000002                    agro.owl                      
RO_0000057                     BFO_0000003                    BFO_0000002                    agro.owl                      
RO_0000057                     BFO_0000003                    BFO_0000002                    agro.owl                      
RO_0000058                     BFO_0000031                    BFO_0000020                    agro.owl                      
RO_0000059                     BFO_0000020                    BFO_0000031                    agro.owl                      
RO_0000085                     BFO_0000004                    BFO_0000034                    agro.owl                      
RO_0000087                     BFO_0000004                    BFO_0000023                    agro.owl                      
RO_0000087                     BFO_0000004                    BFO_0000023                    agro.owl                      
