#! Version: 07/06/2019_16:37:26

Non english words: 

Word                           ObjectProperty                           Filename                                
cotemporal                     cotemporalWith                           data/ontologies/2016_005_112_465537.owl 
uppermanagement                isUppermanagementEmployeeOf              data/ontologies/2016_005_112_465537.owl 
uppermanagement                hasUppermanagementEmployee               data/ontologies/2016_005_112_465537.owl 
istemporally                   istemporallySubsumedBy                   data/ontologies/2016_005_112_465537.owl 
caregiver                      hasCaregiverSex                          data/ontologies/adw.owl                 
popularpractice                PopularpracticeConditional_Premise       data/ontologies/AIF-RDF.owl             
disjuction                     Disjuction_Premise                       data/ontologies/AIF-RDF.owl             
ethotic                        EthoticConditional_Premise               data/ontologies/AIF-RDF.owl             
illocutionary                  IllocutionaryContent                     data/ontologies/AIF-RDF.owl             
accepance                      GeneralAccepance_Premise                 data/ontologies/AIF-RDF.owl             
popularpractice                Popularpractice_Premise                  data/ontologies/AIF-RDF.owl             
existance                      ExistanceOfSign_Premise                  data/ontologies/AIF-RDF.owl             
dispreferred                   DispreferredElement                      data/ontologies/AIF-RDF.owl             
property1                      NegContainsProperty1_Premise             data/ontologies/AIF-RDF.owl             
dispreferred                   DispreferredElement_Desc                 data/ontologies/AIF-RDF.owl             
wof                            SWof                                     data/ontologies/Arpenteur.owl           
tagliato                       hasStratigraphicRelationTagliatoDa       data/ontologies/Arpenteur.owl           
of3                            hasASetOf3DPointWithObs                  data/ontologies/Arpenteur.owl           
wof                            Wof                                      data/ontologies/Arpenteur.owl           
gli                            hasStratigraphicRelationGliSiAppoggia    data/ontologies/Arpenteur.owl           
appoggia                       hasStratigraphicRelationGliSiAppoggia    data/ontologies/Arpenteur.owl           
collegato                      hasStratigraphicRelationCollegatoA       data/ontologies/Arpenteur.owl           
wof                            NWof                                     data/ontologies/Arpenteur.owl           
of3                            hasASetOf3DPoint                         data/ontologies/Arpenteur.owl           
anteriorita                    hasStratigraphicRelationAnteriorita      data/ontologies/Arpenteur.owl           
appoggiato                     hasStratigraphicRelationAppoggiatoA      data/ontologies/Arpenteur.owl           
translation2                   hasTranslation2D                         data/ontologies/Arpenteur.owl           
transformation3                hasTransformation3D                      data/ontologies/Arpenteur.owl           
nof                            Nof                                      data/ontologies/Arpenteur.owl           
matrix2                        hasRotationMatrix2D                      data/ontologies/Arpenteur.owl           
has2                           has2DTransformation                      data/ontologies/Arpenteur.owl           
sito                           hasSito                                  data/ontologies/Arpenteur.owl           
riempito                       hasStratigraphicRelationRiempitoDa       data/ontologies/Arpenteur.owl           
uguale                         hasStratigraphicRelationUgualeA          data/ontologies/Arpenteur.owl           
posteriorita                   hasStratigraphicRelationPosteriorita     data/ontologies/Arpenteur.owl           
sito                           hasASetOfSito                            data/ontologies/Arpenteur.owl           
unita                          hasUnitaStratigrafica                    data/ontologies/Arpenteur.owl           
stratigrafica                  hasUnitaStratigrafica                    data/ontologies/Arpenteur.owl           
copre                          hasStratigraphicRelationCopre            data/ontologies/Arpenteur.owl           
contemporaneita                hasStratigraphicRelationContemporaneita  data/ontologies/Arpenteur.owl           
coperto                        hasStratigraphicRelationCopertoDa        data/ontologies/Arpenteur.owl           
sublocation                    sublocation                              data/ontologies/bibframe.owl            
metadata                       adminMetadata                            data/ontologies/bibframe.owl            
boardgameproperties            boardgameproperties                      data/ontologies/boardgameontology.owl   
username                       username                                 data/ontologies/boardgameontology.owl   
manifestates                   manifestatesDevice                       data/ontologies/BOnSAI.owl              
ingredientes                   hasIngredientes                          data/ontologies/carlsberg.owl           
seiyu                          seiyu                                    data/ontologies/dbpedia_2016-10.owl     
tribus                         tribus                                   data/ontologies/dbpedia_2016-10.owl     
alpg                           winsAtAlpg                               data/ontologies/dbpedia_2016-10.owl     
wiki                           wikiPageRedirects                        data/ontologies/dbpedia_2016-10.owl     
headteacher                    actingHeadteacher                        data/ontologies/dbpedia_2016-10.owl     
tribus                         superTribus                              data/ontologies/dbpedia_2016-10.owl     
wiki                           wikiPageEditLink                         data/ontologies/dbpedia_2016-10.owl     
homeport                       homeport                                 data/ontologies/dbpedia_2016-10.owl     
ifta                           iftaAward                                data/ontologies/dbpedia_2016-10.owl     
goalscorer                     clubsRecordGoalscorer                    data/ontologies/dbpedia_2016-10.owl     
wiki                           wikiPageWikiLink                         data/ontologies/dbpedia_2016-10.owl     
wiki                           wikiPageWikiLink                         data/ontologies/dbpedia_2016-10.owl     
wiki                           wikiPageDisambiguates                    data/ontologies/dbpedia_2016-10.owl     
tribus                         subTribus                                data/ontologies/dbpedia_2016-10.owl     
damsire                        damsire                                  data/ontologies/dbpedia_2016-10.owl     
teryt                          terytCode                                data/ontologies/dbpedia_2016-10.owl     
gini                           giniCoefficientCategory                  data/ontologies/dbpedia_2016-10.owl     
wiki                           wikiPageInterLanguageLink                data/ontologies/dbpedia_2016-10.owl     
wiki                           wikiPageWikiLinkText                     data/ontologies/dbpedia_2016-10.owl     
wiki                           wikiPageWikiLinkText                     data/ontologies/dbpedia_2016-10.owl     
copilote                       copilote                                 data/ontologies/dbpedia_2016-10.owl     
succesfull                     soccerTournamentMostSuccesfull           data/ontologies/dbpedia_2016-10.owl     
wilaya                         wilaya                                   data/ontologies/dbpedia_2016-10.owl     
spacestation                   spacestation                             data/ontologies/dbpedia_2016-10.owl     
orthologous                    orthologousGene                          data/ontologies/dbpedia_2016-10.owl     
khl                            khlDraftTeam                             data/ontologies/dbpedia_2016-10.owl     
wiki                           wikiPageRevisionLink                     data/ontologies/dbpedia_2016-10.owl     
wiki                           wikiPageHistoryLink                      data/ontologies/dbpedia_2016-10.owl     
gaudi                          gaudiAward                               data/ontologies/dbpedia_2016-10.owl     
geoloc                         geolocDepartment                         data/ontologies/dbpedia_2016-10.owl     
footedness                     footedness                               data/ontologies/dbpedia_2016-10.owl     
intercommunality               intercommunality                         data/ontologies/dbpedia_2016-10.owl     
usopen                         usopenWins                               data/ontologies/dbpedia_2016-10.owl     
architectual                   architectualBureau                       data/ontologies/dbpedia_2016-10.owl     
origo                          origo                                    data/ontologies/dbpedia_2016-10.owl     
headteacher                    executiveHeadteacher                     data/ontologies/dbpedia_2016-10.owl     
nrhp                           nrhpType                                 data/ontologies/dbpedia_2016-10.owl     
frazioni                       frazioni                                 data/ontologies/dbpedia_2016-10.owl     
headteacher                    headteacher                              data/ontologies/dbpedia_2016-10.owl     
lchf                           lchfDraftTeam                            data/ontologies/dbpedia_2016-10.owl     
simc                           simcCode                                 data/ontologies/dbpedia_2016-10.owl     
reff                           reffBourgmestre                          data/ontologies/dbpedia_2016-10.owl     
bourgmestre                    reffBourgmestre                          data/ontologies/dbpedia_2016-10.owl     
bourgmestre                    bourgmestre                              data/ontologies/dbpedia_2016-10.owl     
webcast                        webcast                                  data/ontologies/dbpedia_2016-10.owl     
wiki                           wikiPageExternalLink                     data/ontologies/dbpedia_2016-10.owl     
cousurper                      cousurper                                data/ontologies/dbpedia_2016-10.owl     
taoiseach                      taoiseach                                data/ontologies/dbpedia_2016-10.owl     
wikidata                       wikidataSplitIri                         data/ontologies/dbpedia_2016-10.owl     
foriegn                        hasForiegnKeyColumns                     data/ontologies/ddm.owl                 
27                             ObjectProperty_27                        data/ontologies/ddm.owl                 
delegatable                    isDelegatableTo                          data/ontologies/Delegation.owl          
statevalue                     statevalueOf                             data/ontologies/dogont.owl              
mereologically                 mereologically-coincides                 data/ontologies/DOLCE-Lite.owl          
parametrizes                   parametrizes                             data/ontologies/DUL.owl                 
coparticipates                 coparticipatesWith                       data/ontologies/DUL.owl                 
evaluatively                   evaluatively_comparable                  data/ontologies/expression.owl          
homepage                       accountServiceHomepage                   data/ontologies/foaf.owl                
homepage                       workInfoHomepage                         data/ontologies/foaf.owl                
mbox                           mbox                                     data/ontologies/foaf.owl                
weblog                         weblog                                   data/ontologies/foaf.owl                
homepage                       schoolHomepage                           data/ontologies/foaf.owl                
homepage                       workplaceHomepage                        data/ontologies/foaf.owl                
img                            img                                      data/ontologies/foaf.owl                
openid                         openid                                   data/ontologies/foaf.owl                
homepage                       homepage                                 data/ontologies/foaf.owl                
tipjar                         tipjar                                   data/ontologies/foaf.owl                
dimention                      hasGameDimention                         data/ontologies/gamemodel.rdf           
meronym                        meronym                                  data/ontologies/gold-2008.owl           
hypernym                       hypernym                                 data/ontologies/gold-2008.owl           
wsdl                           wsdlOutputs                              data/ontologies/Grounding.owl           
wsdl                           wsdlOutputMessageParts                   data/ontologies/Grounding.owl           
wsdl                           wsdlOperation                            data/ontologies/Grounding.owl           
wsdl                           wsdlInputMessageParts                    data/ontologies/Grounding.owl           
damls                          damlsParameter                           data/ontologies/Grounding.owl           
wsdl                           wsdlInputs                               data/ontologies/Grounding.owl           
dayof                          dayofWeek                                data/ontologies/icontact.owl            
icontact                       icontactProperty                         data/ontologies/icontact.owl            
openid                         openid                                   data/ontologies/index.rdf               
tipjar                         tipjar                                   data/ontologies/index.rdf               
homepage                       workplaceHomepage                        data/ontologies/index.rdf               
homepage                       accountServiceHomepage                   data/ontologies/index.rdf               
mbox                           mbox                                     data/ontologies/index.rdf               
homepage                       homepage                                 data/ontologies/index.rdf               
homepage                       schoolHomepage                           data/ontologies/index.rdf               
img                            img                                      data/ontologies/index.rdf               
weblog                         weblog                                   data/ontologies/index.rdf               
homepage                       workInfoHomepage                         data/ontologies/index.rdf               
centret                        centretHead                              data/ontologies/instOntology.owl        
impacton                       hasImpactonProperty                      data/ontologies/iot-o.owl               
pv6                            hasIPv6                                  data/ontologies/iot-ontology.owl        
object1                        hasObject1                               data/ontologies/IPDFull.owl             
