#! Version: 23/05/2019_17:05:16
File                           Owlready?  Rdflib?    Loaded?    NbErrors   Time       NbTriples  OpUnreadable

2016_005_112_465537.owl        True       False      True       0          0.03       110        0         
aba-amb.owl                    True       False      True       0          0.11       3          0         
action.owl                     False      True       True       0          0.17       9          0         
Action_2.owl                   False      True       True       0          3.22       13         0         
Actor.owl                      False      True       True       0          1.27       2          0         
adw.owl                        True       False      True       15         1.14       1          0         
aircraft.owl                   True       False      True       0          7.61       84         0         
amo.owl                        True       False      True       0          0.03       58         0         
Authorization.owl              True       False      True       0          0.75       2          0         
beer.owl                       True       False      True       0          0.00       8          0         
bibframe.owl                   True       False      True       0          0.05       50         0         
bibliographic.owl              True       False      True       4          0.02       14         0         
BibTex.owl                     True       False      True       4          0.03       17         0         
boardgameontology.owl          False      True       True       0          1.02       42         0         
BOnSAI.owl                     True       False      True       5          3.65       55         0         
carlsberg.owl                  True       False      True       0          0.05       6          0         
Cguide.owl                     True       False      True       13         0.16       19         0         
cio.owl                        True       False      True       2          0.09       3          0         
collaborativePizza.owl         True       False      True       0          1.28       149        0         
COSMO.owl                      False      True       True       0          32.23      1313       0         
dbpedia_2016-10.owl            True       False      True       23         0.77       685        0         
ddm.owl                        False      True       True       0          0.53       12         0         
Delegation.owl                 False      True       True       0          0.70       17         0         
demlab.owl                     False      True       True       0          0.70       37         0         
DOLCE-Lite.owl                 True       False      True       0          0.06       143        0         
DOLCE-QL.owl                   True       False      True       0          0.05       103        0         
DUL.owl                        True       False      True       4          0.08       103        0         
ecrm_170309.owl                True       False      True       0          0.14       529        0         
EDAM.owl                       True       False      True       2          0.39       8          0         
einsteins_riddle.owl           True       False      True       0          0.05       6          0         
Entity.owl                     False      True       True       0          0.31       9          0         
event.n3                       False      True       True       0          0.08       17         0         
expression.owl                 False      True       True       0          3.20       36         0         
family.rdf.owl                 True       False      True       0          0.12       52         0         
foaf.owl                       True       False      True       1          0.03       31         0         
food.owl                       False      True       True       0          10.84      29         0         
football.owl                   True       False      True       3          0.05       24         0         
forms.owl                      True       False      True       1          0.02       5          0         
fypo.owl                       True       False      True       0          7.98       6          0         
gamemodel.rdf                  True       False      True       3          0.03       34         0         
geo_2007.owl                   True       False      True       0          0.03       2          0         
gfo-basic.owl                  True       False      True       5          0.05       19         0         
gfo-bio.owl                    True       False      True       1          1.91       34         0         
gfo.owl                        True       False      True       1          0.05       34         0         
icontact.owl                   True       False      True       0          0.05       2          0         
IFC4_ADD1.owl                  True       False      True       0          5.75       1574       0         
index.rdf                      True       False      True       1          0.05       31         0         
Information.owl                False      True       True       0          2.50       4          0         
instOntology.owl               True       False      True       0          0.05       23         0         
iot-o.owl                      False      True       True       0          0.06       24         0         
iot-ontology.owl               True       False      True       0          4.92       8          0         
IPDFull.owl                    True       False      True       1          19.97      13         0         
iridl.owl                      False      True       True       0          12.26      13         0         
iridlcontent.owl               True       False      True       1          1.03       10         0         
iridlsemantics.owl             False      True       True       0          12.12      1          0         
istexXML.owl                   True       False      True       0          0.06       11         0         
IT_study1.owl                  True       False      True       0          0.03       4          0         
leo.owl                        True       False      True       5          0.03       19         0         
Library Ontology.owl           True       False      True       0          0.03       33         0         
lkif-rules.owl                 False      True       True       0          3.11       5          0         
lom.owl                        True       False      True       18         0.08       50         0         
mamo-xml.owl                   True       False      True       0          0.06       1          0         
maproom-edited.owl             False      True       True       0          60.29      8          0         
mereology.owl                  False      True       True       0          0.11       14         0         
metalex-cen.owl                True       False      True       0          0.09       20         0         
MGEDOntology.owl               False      True       True       0          2.70       83         0         
mod-ontology-09092016.owl      True       False      True       0          0.06       22         0         
Monetary_ontology.rdf-xml.owl  True       False      True       4          0.03       21         0         
movieontology.owl              False      True       True       0          0.42       39         0         
ms.owl                         False      True       True       0          6.14       5          0         
norm.owl                       False      True       True       0          0.28       13         0         
oboe-core.owl                  True       False      True       1          0.06       25         0         
omp.owl                        True       False      True       0          0.61       6          0         
OntoWAWO+.owl                  True       False      True       0          0.06       26         0         
opl_inferred.owl               True       False      True       0          0.11       6          0         
owl                            False      True       True       0          0.06       2          0         
owl.rdf                        True       False      True       0          0.47       2          0         
pato.owl                       True       False      True       0          0.53       9          0         
pizza.owl                      True       False      True       0          0.05       3          0         
Place.owl                      False      True       True       0          0.02       4          0         
pml-provenance.owl             True       False      True       0          0.45       15         0         
Policy.owl                     False      True       True       0          2.27       19         0         
PPOntology.owl                 True       False      True       18         0.13       17         0         
process.owl                    False      True       True       0          0.11       12         0         
Process_2.owl                  True       False      True       1          0.97       37         0         
pro_reasoned.owl               True       False      True       0          127.99     1          0         
relational.owl                 True       False      True       1          0.06       4          0         
relative-places.owl            False      True       True       0          0.69       18         0         
restaurant.owl                 True       False      True       0          0.78       9          0         
role.owl                       False      True       True       0          0.13       8          0         
sbpax2.owl                     True       False      True       0          1.67       15         0         
skos.rdf                       True       False      True       2          0.02       3          0         
SQWRLCollectionExamples.owl    False      True       True       0          1.25       6          0         
SQWRLCoreExamples.owl          False      True       True       0          0.86       6          0         
ss.owl                         True       False      True       1          0.03       3          0         
ssm.owl                        True       False      True       1          0.05       4          0         
ssn.owl                        False      True       True       0          0.97       55         0         
SVECore.owl                    True       False      True       2          0.03       9          0         
swrli.owl                      False      True       True       0          1.00       9          0         
SWRLXML.owl                    True       False      True       2          0.05       5          0         
tabletopgames_V3.owl           True       False      True       0          0.02       4          0         
TelecomEntity.owl              False      True       True       0          0.34       10         0         
temporal.owl                   True       False      True       1          0.05       1          0         
temporalAggregates.owl         True       False      True       1          0.03       6          0         
time-modification.owl          False      True       True       0          0.22       11         0         
time.owl                       False      True       True       0          0.16       33         0         
univ-bench.owl                 True       False      True       0          0.03       17         0         
v1.owl                         True       False      True       34         0.06       16         0         
WeatherOntology.owl            False      True       True       0          0.69       21         0         
wine.owl                       True       False      True       0          0.06       6          0         
WordNet.owl                    True       False      True       3          36.09      25         0         
wp1_dolce.owl                  True       False      True       1          0.03       2          0         

Total                          75         37         112        186        392.61     6474       0         

Nb of files: 112
