#! Version: 28/06/2019_11:36:29

# This file contains non-english words found when creating OPD.

Word                           ObjectProperty                                Filename                                

uppermanagement                hasUppermanagementEmployee                    2016_005_112_465537.owl                 
istemporally                   istemporallySubsumedBy                        2016_005_112_465537.owl                 
cotemporal                     cotemporalWith                                2016_005_112_465537.owl                 
uppermanagement                isUppermanagementEmployeeOf                   2016_005_112_465537.owl                 
caregiver                      hasCaregiverSex                               adw.owl                                 
ethotic                        EthoticConditional_Premise                    AIF-RDF.owl                             
disjuction                     Disjuction_Premise                            AIF-RDF.owl                             
dispreferred                   DispreferredElement                           AIF-RDF.owl                             
popularpractice                Popularpractice_Premise                       AIF-RDF.owl                             
illocutionary                  IllocutionaryContent                          AIF-RDF.owl                             
existance                      ExistanceOfSign_Premise                       AIF-RDF.owl                             
popularpractice                PopularpracticeConditional_Premise            AIF-RDF.owl                             
accepance                      GeneralAccepance_Premise                      AIF-RDF.owl                             
property1                      NegContainsProperty1_Premise                  AIF-RDF.owl                             
dispreferred                   DispreferredElement_Desc                      AIF-RDF.owl                             
gli                            hasStratigraphicRelationGliSiAppoggia         Arpenteur.owl                           
appoggia                       hasStratigraphicRelationGliSiAppoggia         Arpenteur.owl                           
contemporaneita                hasStratigraphicRelationContemporaneita       Arpenteur.owl                           
wof                            NWof                                          Arpenteur.owl                           
coperto                        hasStratigraphicRelationCopertoDa             Arpenteur.owl                           
tagliato                       hasStratigraphicRelationTagliatoDa            Arpenteur.owl                           
of3                            hasASetOf3DPoint                              Arpenteur.owl                           
copre                          hasStratigraphicRelationCopre                 Arpenteur.owl                           
translation2                   hasTranslation2D                              Arpenteur.owl                           
posteriorita                   hasStratigraphicRelationPosteriorita          Arpenteur.owl                           
collegato                      hasStratigraphicRelationCollegatoA            Arpenteur.owl                           
riempito                       hasStratigraphicRelationRiempitoDa            Arpenteur.owl                           
uguale                         hasStratigraphicRelationUgualeA               Arpenteur.owl                           
wof                            SWof                                          Arpenteur.owl                           
sito                           hasSito                                       Arpenteur.owl                           
appoggiato                     hasStratigraphicRelationAppoggiatoA           Arpenteur.owl                           
of3                            hasASetOf3DPointWithObs                       Arpenteur.owl                           
transformation3                hasTransformation3D                           Arpenteur.owl                           
matrix2                        hasRotationMatrix2D                           Arpenteur.owl                           
unita                          hasUnitaStratigrafica                         Arpenteur.owl                           
stratigrafica                  hasUnitaStratigrafica                         Arpenteur.owl                           
nof                            Nof                                           Arpenteur.owl                           
sito                           hasASetOfSito                                 Arpenteur.owl                           
has2                           has2DTransformation                           Arpenteur.owl                           
wof                            Wof                                           Arpenteur.owl                           
anteriorita                    hasStratigraphicRelationAnteriorita           Arpenteur.owl                           
playout                        isPlayoutInstantOf                            BCI_(plain).owl                         
playout                        isPlayoutOf                                   BCI_(plain).owl                         
coparticipates                 coparticipatesIn                              BCI_(plain).owl                         
coparticipates                 coparticipatesWith                            BCI_(plain).owl                         
playout                        hasPlayout                                    BCI_(plain).owl                         
playout                        hasPlayoutInstant                             BCI_(plain).owl                         
metadata                       adminMetadata                                 bibframe.owl                            
sublocation                    sublocation                                   bibframe.owl                            
username                       username                                      boardgameontology.owl                   
boardgameproperties            boardgameproperties                           boardgameontology.owl                   
manifestates                   manifestatesDevice                            BOnSAI.owl                              
ingredientes                   hasIngredientes                               carlsberg.owl                           
wiki                           wikiPageWikiLink                              dbpedia_2016-10.owl                     
wiki                           wikiPageWikiLink                              dbpedia_2016-10.owl                     
simc                           simcCode                                      dbpedia_2016-10.owl                     
wiki                           wikiPageHistoryLink                           dbpedia_2016-10.owl                     
reff                           reffBourgmestre                               dbpedia_2016-10.owl                     
bourgmestre                    reffBourgmestre                               dbpedia_2016-10.owl                     
homeport                       homeport                                      dbpedia_2016-10.owl                     
goalscorer                     clubsRecordGoalscorer                         dbpedia_2016-10.owl                     
copilote                       copilote                                      dbpedia_2016-10.owl                     
alpg                           winsAtAlpg                                    dbpedia_2016-10.owl                     
wiki                           wikiPageDisambiguates                         dbpedia_2016-10.owl                     
geoloc                         geolocDepartment                              dbpedia_2016-10.owl                     
headteacher                    actingHeadteacher                             dbpedia_2016-10.owl                     
gini                           giniCoefficientCategory                       dbpedia_2016-10.owl                     
teryt                          terytCode                                     dbpedia_2016-10.owl                     
bourgmestre                    bourgmestre                                   dbpedia_2016-10.owl                     
wilaya                         wilaya                                        dbpedia_2016-10.owl                     
seiyu                          seiyu                                         dbpedia_2016-10.owl                     
headteacher                    headteacher                                   dbpedia_2016-10.owl                     
origo                          origo                                         dbpedia_2016-10.owl                     
tribus                         subTribus                                     dbpedia_2016-10.owl                     
wiki                           wikiPageInterLanguageLink                     dbpedia_2016-10.owl                     
wiki                           wikiPageEditLink                              dbpedia_2016-10.owl                     
tribus                         tribus                                        dbpedia_2016-10.owl                     
usopen                         usopenWins                                    dbpedia_2016-10.owl                     
wiki                           wikiPageWikiLinkText                          dbpedia_2016-10.owl                     
wiki                           wikiPageWikiLinkText                          dbpedia_2016-10.owl                     
wiki                           wikiPageExternalLink                          dbpedia_2016-10.owl                     
lchf                           lchfDraftTeam                                 dbpedia_2016-10.owl                     
damsire                        damsire                                       dbpedia_2016-10.owl                     
webcast                        webcast                                       dbpedia_2016-10.owl                     
architectual                   architectualBureau                            dbpedia_2016-10.owl                     
wiki                           wikiPageRevisionLink                          dbpedia_2016-10.owl                     
spacestation                   spacestation                                  dbpedia_2016-10.owl                     
gaudi                          gaudiAward                                    dbpedia_2016-10.owl                     
nrhp                           nrhpType                                      dbpedia_2016-10.owl                     
wikidata                       wikidataSplitIri                              dbpedia_2016-10.owl                     
footedness                     footedness                                    dbpedia_2016-10.owl                     
khl                            khlDraftTeam                                  dbpedia_2016-10.owl                     
succesfull                     soccerTournamentMostSuccesfull                dbpedia_2016-10.owl                     
orthologous                    orthologousGene                               dbpedia_2016-10.owl                     
intercommunality               intercommunality                              dbpedia_2016-10.owl                     
frazioni                       frazioni                                      dbpedia_2016-10.owl                     
tribus                         superTribus                                   dbpedia_2016-10.owl                     
ifta                           iftaAward                                     dbpedia_2016-10.owl                     
cousurper                      cousurper                                     dbpedia_2016-10.owl                     
wiki                           wikiPageRedirects                             dbpedia_2016-10.owl                     
headteacher                    executiveHeadteacher                          dbpedia_2016-10.owl                     
taoiseach                      taoiseach                                     dbpedia_2016-10.owl                     
coparticipates                 coparticipatesWith                            dbpedia_2016-10.owl                     
tribus                         Tribus                                        dbpedia_2016-10.owl                     
foriegn                        hasForiegnKeyColumns                          ddm.owl                                 
27                             ObjectProperty_27                             ddm.owl                                 
delegatable                    isDelegatableTo                               Delegation.owl                          
perfomer                       perfomer                                      Demographic_RM.owl                      
folksonomy                     partOfFolksonomy                              DMRO-Annotation.owl                     
statevalue                     statevalueOf                                  dogont.owl                              
mereologically                 mereologically-coincides                      DOLCE-Lite.owl                          
parametrizes                   parametrizes                                  DUL.owl                                 
coparticipates                 coparticipatesWith                            DUL.owl                                 
lopd                           lopdLevel                                     ei2a.owl                                
pesonal                        pesonalIdentifierSystemLinkedTo               ei2a.owl                                
organiser                      organiser                                     ei2a.owl                                
gastro                         gastroType                                    ei2a.owl                                
hashtags                       hasHashtags                                   ei2a.owl                                
o:preceded                     RO:preceded_by                                expose.owl                              
i:is                           OBI:is_realized_by                            expose.owl                              
o:contained                    RO:contained_in                               expose.owl                              
o:transformation               RO:transformation_of                          expose.owl                              
o:contains                     RO:contains                                   expose.owl                              
i:achieves                     OBI:achieves_planned_objective                expose.owl                              
i:realizes                     OBI:realizes                                  expose.owl                              
